state,num,FIPS,STEM and STEM-related  career clusters,"Agriculture, Food, and Natural Resources",Architecture and Construction,"Arts, Audio-Visual Technology, and Communication",Business Management and Administration,Education and Training,Finance,Government and Public Administration,Health Science,Hospitality and Tourism,Human Services,Information Technology,"Law, Public Safety, Corrections, and Security",Manufacturing,Marketing ,"Science, Technology, Engineering, and Mathematics","Transportation, Distribution, and Logistics"
Hawaii,0,15,29.86,7.99,12.70,22.31,3.28,1.86,0.39,0.00,16.97,18.51,0.00,1.10,0.00,0.54,3.41,3.80,7.15
Idaho,7,16,34.50,15.53,2.07,4.92,30.53,1.94,0.00,0.00,8.13,8.61,8.36,3.44,0.83,1.31,2.70,7.39,4.23
Illinois,18,17,33.50,11.04,7.99,6.38,13.73,2.45,0.20,0.00,8.37,5.62,7.40,5.85,4.30,7.56,1.02,8.24,9.85
Indiana,16,18,46.75,6.10,8.41,4.56,3.40,4.72,0.00,0.00,25.63,4.70,0.49,4.80,6.15,7.65,2.33,10.21,10.84
Iowa,33,19,24.13,16.81,13.60,0.61,22.33,0.00,0.00,0.00,3.33,3.96,20.43,0.83,0.00,7.76,3.84,3.16,3.35
Kansas,22,20,40.83,10.93,9.42,15.98,2.61,1.34,3.64,0.03,13.86,5.91,6.67,7.36,1.69,3.65,5.23,8.66,3.00
Kentucky,8,21,37.60,13.46,5.38,1.69,16.96,0.00,0.00,0.00,13.88,0.00,14.35,4.33,9.18,6.96,3.71,5.93,4.16
Louisiana,7,22,36.76,15.82,3.49,6.13,33.44,0.61,0.02,0.00,9.83,1.98,6.67,1.89,1.43,4.30,3.60,9.23,1.55
Maine,24,23,24.38,2.41,11.55,7.26,6.83,7.40,0.46,0.00,13.18,8.92,5.87,4.37,5.71,8.28,0.51,4.42,12.83
Maryland,106,24,32.60,5.30,6.44,4.25,11.38,9.84,4.26,0.00,10.14,9.86,0.09,6.86,5.12,1.09,10.88,10.30,4.20
Massachusetts,42,25,30.56,4.47,18.68,10.07,2.92,4.47,0.00,0.00,10.63,8.46,5.47,5.36,0.99,5.70,4.21,10.10,8.48
Michigan,21,26,34.40,6.72,6.77,6.52,10.29,2.07,5.86,0.36,12.24,4.57,1.07,8.81,1.91,5.68,13.80,6.63,6.71
Minnesota,165,27,15.54,11.47,11.07,8.71,22.36,0.00,1.72,0.00,2.11,0.53,21.69,1.95,0.33,6.93,4.85,0.00,6.25
Mississippi,3,28,46.51,20.87,9.86,3.79,2.52,4.34,0.72,0.00,18.58,6.36,4.41,1.50,2.54,6.33,4.99,5.57,7.62
Missouri,13,29,50.09,22.18,5.58,2.58,7.25,1.66,1.73,0.00,13.29,4.91,7.30,7.86,2.37,4.88,3.83,6.76,7.83
Montana,6,30,21.19,11.83,21.29,2.37,10.08,0.00,6.27,0.00,6.45,10.36,6.31,2.91,0.00,20.99,1.14,0.00,0.00
Nebraska,17,31,27.09,9.85,8.25,2.75,10.34,1.57,7.30,0.00,7.38,3.82,23.36,6.40,0.59,9.65,2.95,3.47,2.33
Nevada,55,32,30.29,4.88,7.15,21.87,2.63,2.11,1.09,0.00,12.58,11.68,2.83,8.60,3.28,3.31,6.27,4.24,7.47
New Hampshire,6,33,31.74,8.54,11.94,8.44,6.90,5.88,0.50,0.77,11.64,7.25,4.27,6.43,2.23,4.47,6.21,5.14,9.41
New Jersey,69,34,30.40,2.96,7.21,18.09,4.17,1.77,4.62,1.35,10.35,9.28,5.75,7.07,3.38,4.68,4.33,10.01,4.96
New Mexico,3,35,22.39,10.34,12.17,31.08,6.45,0.39,0.00,4.19,5.57,13.02,3.70,1.85,0.00,0.44,3.26,4.63,2.90
New York,48,36,41.40,2.38,3.72,7.49,15.62,0.36,0.72,0.01,6.46,4.08,2.54,17.33,3.68,11.23,3.36,15.23,5.78
North Carolina,19,37,42.38,17.97,9.30,5.20,6.90,0.03,1.13,13.99,11.60,2.17,7.75,7.75,2.12,3.51,2.45,5.05,3.07
North Dakota,16,38,30.92,11.98,3.41,0.93,10.06,0.53,4.77,0.00,8.69,1.14,26.62,3.35,0.00,4.21,5.52,6.89,11.89
Ohio,41,39,49.22,18.23,7.62,5.21,2.75,4.23,0.57,0.00,14.48,4.22,5.26,8.73,3.33,5.25,4.86,7.78,7.47
Oklahoma,9,40,46.51,3.61,8.12,4.68,4.86,0.25,0.58,0.00,18.04,3.00,8.05,10.00,1.91,8.26,0.99,14.86,12.79
Oregon,14,41,27.67,10.83,6.87,12.09,7.40,5.92,2.04,0.00,8.87,11.40,1.08,4.28,0.69,12.66,8.00,3.70,4.17
Pennsylvania,30,42,27.50,6.74,14.57,6.22,1.85,0.00,0.00,0.00,13.76,8.60,11.62,5.40,3.75,10.19,1.46,1.60,14.23
Puerto Rico,99,72,20.84,4.83,10.91,1.80,28.40,0.00,0.00,0.00,7.05,9.32,7.13,5.76,0.00,4.08,8.99,3.20,8.53
Rhode Island,51,44,33.17,4.01,4.17,38.24,1.36,3.91,0.43,2.46,4.63,3.48,2.43,3.96,2.18,5.18,1.16,20.57,1.83
South Carolina,6,45,41.46,5.77,4.99,5.92,6.95,2.54,1.91,0.00,24.76,6.87,8.04,4.14,3.46,7.59,3.40,6.80,6.88
South Dakota,25,46,36.08,19.80,11.45,5.59,16.21,0.89,0.68,0.00,3.21,4.30,12.59,3.95,0.00,7.14,1.76,9.12,3.31
Tennessee,25,47,41.22,12.36,6.71,5.66,6.50,1.02,1.32,�,21.86,4.29,11.96,2.96,6.57,3.86,4.76,4.04,6.11
Texas,26,48,36.27,10.77,3.16,14.72,11.80,2.35,4.18,0.27,13.19,4.42,9.13,5.49,6.87,2.19,2.33,6.83,2.31
Utah,13,49,32.60,11.62,2.15,5.94,3.12,12.25,0.33,0.00,11.61,4.51,6.97,6.40,15.30,9.85,2.15,2.97,4.82
Vermont,20,50,25.88,10.51,11.73,13.37,4.85,0.56,0.00,0.00,10.42,8.46,11.63,3.11,4.57,4.63,0.75,1.84,13.56
Virginia,75,51,35.97,3.99,2.56,2.70,11.40,1.75,10.72,4.11,3.09,6.10,14.10,9.93,1.48,1.80,5.37,18.96,1.95
Washington,73,53,32.78,4.40,2.42,26.13,0.19,12.52,1.57,3.34,9.02,4.64,1.77,17.02,1.90,4.76,4.17,2.33,3.80
West Virginia,1,54,37.31,12.08,11.72,2.26,10.81,1.12,�,6.41,14.73,4.62,4.14,7.73,3.05,9.39,1.27,2.77,7.87
Wisconsin,7,55,16.96,7.55,8.18,7.38,20.44,30.28,0.00,0.04,6.25,4.24,0.88,2.55,0.15,10.19,0.85,0.60,0.41
Wyoming,16,56,38.38,19.98,12.68,4.06,2.90,0.48,2.87,0.00,8.40,11.05,3.18,4.37,1.30,12.65,2.34,5.64,8.11
,,,,,,,,,,,,,,,,,,,
