state,num,FIPS,STEM and STEM-related  career clusters,"Agriculture, Food, and Natural Resources",Architecture and Construction,"Arts, Audio-Visual Technology, and Communication",Business Management and Administration,Education and Training,Finance,Government and Public Administration,Health Science,Hospitality and Tourism,Human Services,Information Technology,"Law, Public Safety, Corrections, and Security",Manufacturing,Marketing ,"Science, Technology, Engineering, and Mathematics","Transportation, Distribution, and Logistics"
Alabama,6,01,30.2,12.8,6.1,2.1,20.2,1.5,2.5,8.6,12.3,3.0,20.5,1.4,1.2,1.0,0.0,3.7,3.1
Alaska,1,02,34.0,7.2,5.9,5.7,9.1,1.7,0.6,0.0,21.7,5.4,6.1,1.8,0.5,21.9,0.0,3.3,9.1
Arizona,23,04,30.8,6.3,4.9,16.9,6.2,5.1,0.5,0.0,16.8,12.4,2.3,3.3,5.3,3.6,6.2,4.4,5.7
Arkansas,4,05,48.7,22.4,2.5,3.2,2.2,2.2,2.7,3.8,11.1,1.8,22.3,11.9,2.2,3.3,3.0,3.4,2.0
California,30,06,35.9,12.9,6.0,22.2,5.7,3.6,2.0,0.0,11.2,9.1,0.9,3.5,4.3,2.5,3.4,8.2,4.5
Colorado,34,08,24.9,5.6,6.8,16.8,22.9,0.9,0.0,0.0,2.9,8.3,1.1,7.3,0.9,5.4,9.1,9.2,2.9
Connecticut,14,09,33.1,5.1,12.3,10.5,6.6,4.8,4.4,0.0,4.9,9.2,7.3,16.0,0.0,4.3,3.1,7.1,4.4
Delaware,48,10,42.5,17.9,8.0,10.1,6.4,0.1,5.1,0.0,12.3,8.4,8.4,3.8,2.0,0.7,4.9,8.5,3.4
District of Columbia,11,11,70.2,0.0,12.4,6.3,1.4,�,0.0,0.0,19.8,4.9,0.0,12.2,�,0.0,0.0,38.1,3.3
Florida,11,12,47.8,7.7,3.1,14.7,5.8,5.7,3.2,0.2,22.1,9.9,1.1,8.8,3.1,0.9,1.7,9.2,2.8
Georgia,41,13,32.9,9.2,3.9,4.9,11.1,2.5,6.9,9.5,11.3,3.6,11.7,6.6,3.1,2.0,4.8,5.7,3.1
Hawaii,0,15,29.9,8.0,12.7,22.3,3.3,1.9,0.4,0.0,17.0,18.5,0.0,1.1,0.0,0.5,3.4,3.8,7.1
Idaho,7,16,34.5,15.5,2.1,4.9,30.5,1.9,0.0,0.0,8.1,8.6,8.4,3.4,0.8,1.3,2.7,7.4,4.2
Illinois,18,17,33.5,11.0,8.0,6.4,13.7,2.4,0.2,0.0,8.4,5.6,7.4,5.8,4.3,7.6,1.0,8.2,9.9
Indiana,16,18,46.7,6.1,8.4,4.6,3.4,4.7,0.0,0.0,25.6,4.7,0.5,4.8,6.2,7.6,2.3,10.2,10.8
Iowa,33,19,24.1,16.8,13.6,0.6,22.3,0.0,0.0,0.0,3.3,4.0,20.4,0.8,0.0,7.8,3.8,3.2,3.4
Kansas,22,20,40.8,10.9,9.4,16.0,2.6,1.3,3.6,0.0,13.9,5.9,6.7,7.4,1.7,3.7,5.2,8.7,3.0
Kentucky,8,21,37.6,13.5,5.4,1.7,17.0,0.0,0.0,0.0,13.9,0.0,14.3,4.3,9.2,7.0,3.7,5.9,4.2
Louisiana,7,22,36.8,15.8,3.5,6.1,33.4,0.6,0.0,0.0,9.8,2.0,6.7,1.9,1.4,4.3,3.6,9.2,1.6
Maine,24,23,24.4,2.4,11.5,7.3,6.8,7.4,0.5,0.0,13.2,8.9,5.9,4.4,5.7,8.3,0.5,4.4,12.8
Maryland,106,24,32.6,5.3,6.4,4.2,11.4,9.8,4.3,0.0,10.1,9.9,0.1,6.9,5.1,1.1,10.9,10.3,4.2
Massachusetts,42,25,30.6,4.5,18.7,10.1,2.9,4.5,0.0,0.0,10.6,8.5,5.5,5.4,1.0,5.7,4.2,10.1,8.5
Michigan,21,26,34.4,6.7,6.8,6.5,10.3,2.1,5.9,0.4,12.2,4.6,1.1,8.8,1.9,5.7,13.8,6.6,6.7
Minnesota,165,27,15.5,11.5,11.1,8.7,22.4,0.0,1.7,0.0,2.1,0.5,21.7,2.0,0.3,6.9,4.9,0.0,6.3
Mississippi,3,28,46.5,20.9,9.9,3.8,2.5,4.3,0.7,0.0,18.6,6.4,4.4,1.5,2.5,6.3,5.0,5.6,7.6
Missouri,13,29,50.1,22.2,5.6,2.6,7.2,1.7,1.7,0.0,13.3,4.9,7.3,7.9,2.4,4.9,3.8,6.8,7.8
Montana,6,30,21.2,11.8,21.3,2.4,10.1,0.0,6.3,0.0,6.4,10.4,6.3,2.9,0.0,21.0,1.1,0.0,0.0
Nebraska,17,31,27.1,9.8,8.2,2.8,10.3,1.6,7.3,0.0,7.4,3.8,23.4,6.4,0.6,9.7,3.0,3.5,2.3
Nevada,55,32,30.3,4.9,7.2,21.9,2.6,2.1,1.1,0.0,12.6,11.7,2.8,8.6,3.3,3.3,6.3,4.2,7.5
New Hampshire,6,33,31.7,8.5,11.9,8.4,6.9,5.9,0.5,0.8,11.6,7.2,4.3,6.4,2.2,4.5,6.2,5.1,9.4
New Jersey,69,34,30.4,3.0,7.2,18.1,4.2,1.8,4.6,1.4,10.4,9.3,5.8,7.1,3.4,4.7,4.3,10.0,5.0
New Mexico,3,35,22.4,10.3,12.2,31.1,6.5,0.4,0.0,4.2,5.6,13.0,3.7,1.9,0.0,0.4,3.3,4.6,2.9
New York,48,36,41.4,2.4,3.7,7.5,15.6,0.4,0.7,0.0,6.5,4.1,2.5,17.3,3.7,11.2,3.4,15.2,5.8
North Carolina,19,37,42.4,18.0,9.3,5.2,6.9,0.0,1.1,14.0,11.6,2.2,7.7,7.7,2.1,3.5,2.4,5.1,3.1
North Dakota,16,38,30.9,12.0,3.4,0.9,10.1,0.5,4.8,0.0,8.7,1.1,26.6,3.4,0.0,4.2,5.5,6.9,11.9
Ohio,41,39,49.2,18.2,7.6,5.2,2.7,4.2,0.6,0.0,14.5,4.2,5.3,8.7,3.3,5.3,4.9,7.8,7.5
Oklahoma,9,40,46.5,3.6,8.1,4.7,4.9,0.2,0.6,0.0,18.0,3.0,8.1,10.0,1.9,8.3,1.0,14.9,12.8
Oregon,14,41,27.7,10.8,6.9,12.1,7.4,5.9,2.0,0.0,8.9,11.4,1.1,4.3,0.7,12.7,8.0,3.7,4.2
Pennsylvania,30,42,27.5,6.7,14.6,6.2,1.9,0.0,0.0,0.0,13.8,8.6,11.6,5.4,3.7,10.2,1.5,1.6,14.2
Puerto Rico,99,72,20.8,4.8,10.9,1.8,28.4,0.0,0.0,0.0,7.1,9.3,7.1,5.8,0.0,4.1,9.0,3.2,8.5
Rhode Island,51,44,33.2,4.0,4.2,38.2,1.4,3.9,0.4,2.5,4.6,3.5,2.4,4.0,2.2,5.2,1.2,20.6,1.8
South Carolina,6,45,41.5,5.8,5.0,5.9,6.9,2.5,1.9,0.0,24.8,6.9,8.0,4.1,3.5,7.6,3.4,6.8,6.9
South Dakota,25,46,36.1,19.8,11.5,5.6,16.2,0.9,0.7,0.0,3.2,4.3,12.6,3.9,0.0,7.1,1.8,9.1,3.3
Tennessee,25,47,41.2,12.4,6.7,5.7,6.5,1.0,1.3,�,21.9,4.3,12.0,3.0,6.6,3.9,4.8,4.0,6.1
Texas,26,48,36.3,10.8,3.2,14.7,11.8,2.3,4.2,0.3,13.2,4.4,9.1,5.5,6.9,2.2,2.3,6.8,2.3
