grade,School characteristics,Total number of grade 8 students,Number of students enrolled in a school that offers grade 8 Algebra I,Percentage of students enrolled in a school that offers grade 8 Algebra I 
Grade 8,Urban,1062712,798217,75.1
Grade 8,Suburban, 1472495,1264999,85.9
Grade 8,Town, 411045,313727,76.3
Grade 8,Rural, 696631,522363,75.0
